DateTime,BidQty1,BidPrice1,BidQty2,BidPrice2,BidQty3,BidPrice3,BidQty4,BidPrice4,BidQty5,BidPrice5,BidQty6,BidPrice6,BidQty7,BidPrice7,BidQty8,BidPrice8,BidQty9,BidPrice9,BidQty10,BidPrice10,AskQty1,AskPrice1,AskQty2,AskPrice2,AskQty3,AskPrice3,AskQty4,AskPrice4,AskQty5,AskPrice5,AskQty6,AskPrice6,AskQty7,AskPrice7,AskQty8,AskPrice8,AskQty9,AskPrice9,AskQty10,AskPrice10,mid_price
2025-06-04 10:02:38,34,314.44,65,314.43,44,314.42,113,314.41,182,314.4,334,314.39,1334,314.38,110,314.36,150,314.35,240,314.34,1,314.56,100,314.57,13,314.58,128,314.6,400,314.61,344,314.62,416,314.63,89,314.64,434,314.65,684,314.66,314.5
2025-06-04 10:02:48,1,314.24,8,314.23,300,314.22,131,314.21,153,314.2,300,314.19,500,314.18,2,314.17,126,314.16,241,314.15,1,314.35,13,314.36,90,314.38,100,314.39,1000,314.4,100,314.41,6,314.43,450,314.44,310,314.45,150,314.46,314.295
2025-06-04 10:02:58,884,314.3,81,314.29,66,314.28,334,314.27,334,314.26,334,314.25,1,314.24,240,314.23,450,314.22,100,314.21,100,314.46,1011,314.47,194,314.49,81,314.5,40,314.51,334,314.52,366,314.53,184,314.54,94,314.55,34,314.56,314.38
2025-06-04 10:03:08,334,314.22,81,314.21,153,314.2,100,314.19,200,314.18,2,314.17,42,314.16,103,314.15,741,314.14,10,314.13,32,314.35,105,314.36,1,314.37,200,314.38,73,314.39,1000,314.4,405,314.41,460,314.42,60,314.43,197,314.44,314.285
2025-06-04 10:03:18,43,314.24,143,314.23,334,314.22,34,314.21,403,314.2,347,314.19,500,314.18,2,314.17,85,314.16,64,314.15,102,314.36,137,314.37,100,314.39,1047,314.4,105,314.41,210,314.42,304,314.43,600,314.44,543,314.45,34,314.46,314.3
2025-06-04 10:03:28,184,314.25,34,314.24,81,314.23,90,314.21,403,314.2,300,314.19,484,314.18,1002,314.17,111,314.16,741,314.15,175,314.36,5,314.38,173,314.42,467,314.43,550,314.44,347,314.45,109,314.46,1060,314.47,34,314.48,34,314.49,314.305
2025-06-04 10:03:38,184,314.25,100,314.23,78,314.21,603,314.2,800,314.19,150,314.18,1002,314.17,11,314.16,241,314.15,241,314.14,208,314.43,47,314.44,300,314.45,456,314.46,1047,314.47,60,314.48,34,314.49,134,314.5,184,314.51,143,314.52,314.34000000000003
2025-06-04 10:03:48,192,314.26,1184,314.25,334,314.24,834,314.23,34,314.22,34,314.21,303,314.2,100,314.19,161,314.18,2,314.17,234,314.45,547,314.46,184,314.47,34,314.48,334,314.49,451,314.5,329,314.51,34,314.52,274,314.53,517,314.54,314.355
2025-06-04 10:03:58,36,314.17,195,314.16,535,314.15,325,314.14,44,314.13,452,314.12,1120,314.11,22,314.1,1150,314.09,10,314.08,34,314.36,50,314.37,1184,314.38,134,314.39,231,314.4,34,314.41,34,314.42,37,314.43,334,314.44,888,314.45,314.265
2025-06-04 10:04:08,155,314.14,34,314.13,701,314.12,1144,314.11,56,314.1,184,314.09,44,314.08,91,314.07,223,314.06,159,314.05,125,314.32,274,314.33,214,314.34,34,314.35,384,314.36,334,314.37,394,314.38,34,314.39,34,314.4,234,314.41,314.23
2025-06-04 10:04:18,117,314.12,298,314.11,195,314.1,366,314.09,344,314.08,344,314.07,45,314.06,309,314.05,759,314.04,5618,314.03,174,314.24,156,314.25,54,314.26,274,314.27,184,314.28,40,314.29,284,314.3,140,314.31,1054,314.32,143,314.33,314.18
2025-06-04 10:04:28,110,314.16,161,314.15,443,314.14,354,314.13,176,314.12,344,314.11,346,314.1,341,314.09,1054,314.08,54,314.07,17,314.3,54,314.31,34,314.32,81,314.33,34,314.34,108,314.35,334,314.36,434,314.37,1034,314.38,34,314.39,314.23
2025-06-04 10:04:38,44,314.08,54,314.07,345,314.06,828,314.05,759,314.04,5287,314.03,150,314.01,3135,314.0,500,313.99,20,313.96,100,314.24,570,314.25,150,314.26,351,314.27,184,314.28,134,314.29,143,314.3,1334,314.31,334,314.32,81,314.33,314.15999999999997
2025-06-04 10:04:48,101,314.07,239,314.06,149,314.05,784,314.04,5221,314.03,334,314.02,434,314.01,2169,314.0,534,313.99,1650,313.98,100,314.21,15,314.22,274,314.24,184,314.25,328,314.26,394,314.27,684,314.28,1290,314.29,34,314.3,34,314.31,314.14
2025-06-04 10:04:58,34,314.16,575,314.15,385,314.14,34,314.13,434,314.12,34,314.11,56,314.1,400,314.09,1130,314.08,520,314.07,134,314.36,338,314.37,1094,314.38,39,314.39,762,314.4,543,314.41,40,314.42,184,314.43,235,314.44,434,314.45,314.26
2025-06-04 10:05:08,36,314.1,268,314.09,1044,314.08,354,314.07,405,314.06,409,314.05,897,314.04,5037,314.03,150,314.02,1300,314.01,150,314.24,190,314.26,184,314.28,34,314.29,134,314.3,200,314.31,443,314.32,334,314.33,61,314.34,184,314.35,314.17
2025-06-04 10:05:18,559,314.05,1097,314.04,5221,314.03,34,314.02,1450,314.01,1135,314.0,1000,313.98,620,313.96,600,313.95,100,313.92,43,314.2,20,314.21,5,314.22,6,314.24,258,314.25,294,314.26,293,314.27,34,314.28,34,314.29,334,314.3,314.125
2025-06-04 10:05:29,564,314.05,797,314.04,5071,314.03,284,314.02,1300,314.01,1135,314.0,1000,313.97,770,313.96,250,313.95,100,313.92,16,314.23,16,314.24,103,314.25,34,314.26,143,314.27,34,314.28,258,314.29,302,314.3,1484,314.31,434,314.32,314.14
2025-06-04 10:05:39,150,314.73,1150,314.71,100,314.7,160,314.69,300,314.67,300,314.66,188,314.64,900,314.63,32,314.62,150,314.61,1,314.84,12,314.85,240,314.86,181,314.87,175,314.89,90,314.9,298,314.91,300,314.92,410,314.93,100,314.96,314.78499999999997
2025-06-04 10:05:49,34,314.97,334,314.96,506,314.95,434,314.94,152,314.93,1501,314.92,700,314.9,150,314.89,2,314.88,100,314.87,2,315.11,758,315.12,324,315.13,100,315.14,149,315.15,300,315.16,375,315.17,334,315.18,450,315.19,35,315.2,315.04
2025-06-04 10:05:59,178,315.23,230,315.22,150,315.21,300,315.2,1000,315.18,25,315.16,100,315.15,500,315.14,160,315.13,116,315.12,763,315.34,112,315.35,11,315.36,392,315.37,8,315.38,508,315.39,11029,315.4,1,315.42,123,315.43,22,315.45,315.28499999999997
2025-06-04 10:06:09,34,315.46,34,315.45,34,315.44,1064,315.43,584,315.42,334,315.41,1095,315.4,650,315.38,574,315.37,26,315.36,295,315.59,50,315.61,340,315.62,323,315.64,525,315.65,193,315.66,334,315.67,434,315.68,35,315.69,34,315.7,315.525
2025-06-04 10:06:19,334,315.48,145,315.47,634,315.46,535,315.45,434,315.44,1034,315.43,34,315.42,274,315.41,842,315.4,1250,315.38,342,315.64,260,315.65,491,315.66,134,315.67,266,315.68,1035,315.69,219,315.7,268,315.71,36,315.72,843,315.73,315.56
2025-06-04 10:06:29,34,315.43,358,315.42,558,315.41,1576,315.4,334,315.39,150,315.38,240,315.37,500,315.36,601,315.35,10,315.34,500,315.57,6,315.58,119,315.59,150,315.6,1,315.61,312,315.62,309,315.63,656,315.64,4018,315.65,134,315.66,315.5
2025-06-04 10:06:39,170,315.3,334,315.29,1384,315.28,350,315.26,400,315.24,525,315.23,100,315.22,500,315.21,126,315.2,150,315.18,1,315.43,9,315.49,859,315.5,2003,315.51,94,315.52,34,315.53,274,315.54,315,315.55,266,315.56,516,315.57,315.365
2025-06-04 10:06:49,744,315.29,384,315.28,143,315.27,350,315.26,100,315.25,204,315.24,325,315.23,1600,315.22,26,315.2,1,315.19,813,315.4,68,315.42,100,315.43,79,315.47,8,315.48,150,315.49,215,315.5,1967,315.51,34,315.52,1034,315.53,315.345
2025-06-04 10:06:59,34,315.21,180,315.2,131,315.19,250,315.18,320,315.17,1101,315.16,181,315.15,150,315.13,108,315.12,580,315.11,18,315.38,497,315.39,483,315.4,68,315.41,240,315.42,493,315.43,34,315.44,1434,315.45,60,315.46,1034,315.47,315.29499999999996
2025-06-04 10:07:09,81,315.27,38,315.26,34,315.25,141,315.24,322,315.23,34,315.22,184,315.21,626,315.2,1,315.19,600,315.18,1,315.43,300,315.44,1295,315.45,94,315.46,1034,315.47,168,315.48,290,315.49,321,315.5,1717,315.51,34,315.52,315.35
2025-06-04 10:07:19,81,315.32,94,315.31,78,315.3,34,315.29,134,315.28,100,315.27,363,315.26,650,315.25,600,315.24,1000,315.23,333,315.45,16,315.46,300,315.47,100,315.48,3,315.49,299,315.5,1807,315.51,34,315.53,1083,315.54,145,315.55,315.385
2025-06-04 10:07:29,34,315.35,34,315.34,89,315.33,34,315.32,202,315.31,1168,315.3,34,315.29,134,315.28,500,315.27,653,315.25,289,315.49,401,315.5,1758,315.51,34,315.52,42,315.53,1392,315.54,71,315.55,69,315.56,369,315.57,40,315.58,315.42
