DateTime,BidQty1,BidPrice1,BidQty2,BidPrice2,BidQty3,BidPrice3,BidQty4,BidPrice4,BidQty5,BidPrice5,BidQty6,BidPrice6,BidQty7,BidPrice7,BidQty8,BidPrice8,BidQty9,BidPrice9,BidQty10,BidPrice10,AskQty1,AskPrice1,AskQty2,AskPrice2,AskQty3,AskPrice3,AskQty4,AskPrice4,AskQty5,AskPrice5,AskQty6,AskPrice6,AskQty7,AskPrice7,AskQty8,AskPrice8,AskQty9,AskPrice9,AskQty10,AskPrice10,mid_price
2025-06-05 10:00:18,394,316.69,34,316.68,243,316.65,1102,316.64,175,316.63,100,316.62,1000,316.61,754,316.6,3,316.58,300,316.57,28,316.8,296,316.81,9,316.82,8,316.83,90,316.86,275,316.87,720,316.88,312,316.89,493,316.9,47,316.91,316.745
2025-06-05 10:00:28,151,316.56,171,316.55,418,316.54,501,316.53,267,316.52,3,316.51,1180,316.5,100,316.49,278,316.48,2550,316.47,100,316.69,13,316.7,113,316.71,240,316.73,100,316.74,112,316.75,77,316.76,336,316.77,167,316.78,533,316.79,316.625
2025-06-05 10:00:38,336,316.64,1100,316.63,100,316.62,504,316.6,100,316.59,3,316.58,240,316.57,280,316.56,1000,316.55,1018,316.54,39,316.75,14,316.77,100,316.79,98,316.8,396,316.81,8,316.83,115,316.84,124,316.85,85,316.86,278,316.87,316.695
2025-06-05 10:00:48,1143,316.63,134,316.62,34,316.61,604,316.6,3,316.58,251,316.56,1250,316.55,1048,316.54,1,316.53,567,316.52,100,316.79,98,316.8,296,316.81,60,316.82,8,316.83,64,316.84,340,316.85,247,316.86,549,316.87,704,316.88,316.71000000000004
2025-06-05 10:00:58,44,316.57,1251,316.56,48,316.54,101,316.53,567,316.52,503,316.51,156,316.5,478,316.48,1024,316.47,300,316.45,376,316.69,17,316.7,11,316.73,37,316.74,581,316.75,164,316.76,442,316.77,360,316.78,98,316.79,128,316.8,316.63
2025-06-05 10:01:08,303,316.51,1256,316.5,100,316.49,428,316.48,1000,316.47,24,316.46,300,316.45,150,316.43,1000,316.42,660,316.41,51,316.65,63,316.66,101,316.67,36,316.68,3,316.69,70,316.7,60,316.72,62,316.73,689,316.74,144,316.76,316.58
2025-06-05 10:01:18,334,316.36,559,316.35,34,316.34,3,316.33,110,316.32,150,316.31,161,316.3,1150,316.29,24,316.28,1000,316.27,408,316.49,13,316.5,206,316.51,1,316.52,248,316.53,102,316.54,109,316.55,299,316.56,338,316.59,1166,316.6,316.425
2025-06-05 10:01:28,44,316.23,65,316.22,300,316.21,100,316.2,1000,316.19,150,316.17,606,316.16,197,316.15,1,316.14,152,316.13,44,316.38,1100,316.39,3,316.42,92,316.44,755,316.45,100,316.46,34,316.47,39,316.48,514,316.49,135,316.5,316.305
2025-06-05 10:01:38,34,316.21,32,316.2,250,316.19,240,316.17,1156,316.16,53,316.15,3,316.13,2000,316.11,753,316.1,100,316.09,177,316.34,5,316.36,67,316.4,1000,316.41,60,316.42,644,316.45,34,316.46,34,316.47,339,316.48,300,316.49,316.275
2025-06-05 10:01:48,34,316.21,134,316.2,450,316.19,300,316.18,106,316.16,97,316.15,816,316.14,303,316.13,750,316.12,2000,316.11,397,316.34,76,316.35,8,316.37,8,316.39,100,316.4,124,316.41,1109,316.42,93,316.44,334,316.45,334,316.46,316.275
