,mean_liquidity,variance_liquidity,mid_price
2025-06-03,12934.766444073895,62607198.54329506,313.89
2025-06-04,9428.355630671875,7171579.962488501,313.745
2025-06-05,11408.892953457978,47092552.255373396,318.915
2025-06-06,12667.53881274107,56456048.73095221,312.975
